feature_id,feature_name,source_family,raw_location_hint,category,temporal_mode,model_branch,derived_from,residual_usage,requires_event_flag,preferred_stage,priority,current_training_use,notes
opt_pre_s2,Pre-event Sentinel-2 B02/B03/B04/B08,source_dataset,source dataset optical pairs,visual_observation,pre_event,visual_encoder,source optical pair,change_consistency,,all,P0,yes,Core visual evidence for landslide appearance before event
opt_post_s2,Post-event Sentinel-2 B02/B03/B04/B08,source_dataset,source dataset optical pairs,visual_observation,post_event,visual_encoder,source optical pair,change_consistency,,all,P0,yes,Core visual evidence for landslide appearance after event
ndvi_drop,Pre/Post NDVI drop,derived_optical,derived from opt_pre_s2 and opt_post_s2,visual_physics_proxy,event_pair,visual_encoder,opt_pre_s2|opt_post_s2,change_consistency,,all,P0,yes,Already used in stage-1 L_phys as vegetation disturbance proxy
dem,Elevation (DEM),CopDEM,/raw/static/copdem_glo30_2021,terrain_static,static,terrain_encoder,CopDEM,stability_prior,has_dem_core,strict_t2,P0,yes,Already used in current DLR baseline through reference_data
slope,Slope,CopDEM,/raw/static/copdem_glo30_2021 or DLR reference_data,terrain_static,static,terrain_encoder,DEM,stability_prior,has_dem_core,strict_t2,P0,yes,Already used in stage-1 L_topo
curvature,Profile/plan curvature,derived_topography,derive from DEM in interim processing,terrain_static,static,terrain_encoder,DEM,hydro_residual|stability_prior,has_dem_core,strict_t2,P1,no,Required for terrain convergence and geomorphic shape cues
twi,Topographic wetness index,derived_topography,derive from DEM in interim processing,terrain_hydrology_proxy,static,terrain_encoder,DEM,hydro_residual,has_dem_core,strict_t2,P1,no,Used as topographic control on moisture accumulation and drainage
worldcover,ESA WorldCover 2021,WorldCover,/raw/static/worldcover_v200_2021,landcover_static,static,material_encoder,WorldCover,stability_prior|change_consistency,has_worldcover_core,strict_t2,P1,no,Distinguishes vegetation, cropland, bare land, built-up areas
soil_texture,Soil texture and cation exchange capacity,SoilGrids,/raw/static/soilgrids/clay|sand|silt|cec,soil_static,static,material_encoder,SoilGrids,hydro_residual|stability_prior,has_static_core,strict_t2,P0,no,Controls infiltration drainage and effective strength proxies
soil_organic,SOC from SoilGrids,SoilGrids,/raw/static/soilgrids/soc,soil_static,static,material_encoder,SoilGrids,hydro_residual|stability_prior,has_static_core,strict_t2,P1,no,Used as retention and structure proxy when available
lithology,LiMW/GLiM lithology class,LiMW,/raw/static/lithology,geology_static,static,material_encoder,LiMW,stability_prior,has_static_core,strict_t2,P0,no,Encodes rock type and susceptibility classes
chirps_event,Event-window rainfall accumulation/intensity,CHIRPS,/raw/weather/chirps_daily_global,dynamic_trigger,event_window,trigger_encoder,CHIRPS,hydro_residual,has_weather_window,strict_t2,P0,no,Multi-dataset rainfall forcing with broad temporal coverage
smap_soil_moisture,SMAP event-window soil moisture,SMAP,/raw/weather/smap_spl3smp,dynamic_state,event_window,trigger_encoder,SMAP,hydro_residual,has_smap_pool,strict_t2,P0,no,Provides antecedent wetness / saturation proxy
era5_hydro,ERA5-Land runoff/soil-temperature/snow/hydrology subset,ERA5-Land,/raw/weather/era5_land/DLR_Landslide_Ref_2025,dynamic_trigger,event_window,trigger_encoder,ERA5-Land,hydro_residual|stability_prior,has_era5_dlr,strict_t3,P0,no,High-fidelity DLR subset for first hybrid PINN prototype
api_rain,Antecedent precipitation index,derived_weather,derive from CHIRPS/ERA5 windows,dynamic_trigger,event_window,trigger_encoder,CHIRPS|ERA5-Land,hydro_residual,has_weather_window,strict_t2,P1,no,Compact representation of multi-day rainfall memory
fos_proxy,Factor-of-safety surrogate,derived_multi_source,derive from terrain material and dynamic states,latent_physics_state,event_window,physics_state_head,DEM|slope|curvature|twi|worldcover|soil_texture|lithology|chirps_event|smap_soil_moisture|era5_hydro,stability_residual,has_static_core,strict_t3,P0,no,Central latent variable for hybrid PINN main innovation
